iter	RMSE
252	954.6347976
253	953.3392774
254	952.5500066
255	951.867773
256	951.0411399
257	950.3404824
258	949.7446614
259	948.5314395
260	948.1205943
261	947.2074792
262	946.1991157
263	945.5623512
264	944.1150531
265	943.5994474
266	942.3739622
267	941.1973405
268	940.0022864
269	939.3760413
270	938.8543756
271	938.2472628
272	937.7794984
273	937.2188615
274	936.5298871
275	935.7613593
276	935.2724564
277	934.7784589
278	933.817592
279	933.1960607
280	932.3707946
281	931.7751993
282	931.3297182
283	930.4759268
284	929.5885094
285	929.2366209
286	928.1615712
287	927.6851608
288	926.9503542
289	926.4402677
290	925.9778008
291	925.4693047
292	924.5201858
293	924.0165206
294	923.5925351
295	922.7672699
296	921.7696225
297	921.1770342
298	920.1180706
299	919.0027577
300	918.4486256
301	917.7883393
302	916.8387909
303	916.1545746
304	915.3082658
305	914.626367
306	913.5747531
307	912.6727326
308	911.7439524
309	911.3158945
310	910.4807521
311	909.489416
312	908.954456
313	908.1871873
314	907.0528827
315	906.1712552
316	905.5126503
317	904.7797036
318	904.1684564
319	903.6540501
320	903.0344625
321	902.301552
322	901.6526209
323	901.3051864
324	900.2555929
325	899.4241818
326	898.9774265
327	898.2141278
328	897.8274619
329	897.0019684
330	896.2491211
331	895.7003457
332	894.9783082
333	894.3334788
334	893.3221911
335	892.6071444
336	891.987538
337	891.6737838
338	890.7528764
339	890.1935371
340	889.3835088
341	888.8090952
342	888.0276083
343	887.2685154
344	886.4892364
345	885.7885725
346	885.0590853
347	884.4403108
348	883.8636534
349	883.2723601
350	882.6896899
351	882.2032919
352	881.7724147
353	881.3313283
354	880.7469253
355	880.2260445
356	879.5056811
357	878.9439251
358	877.9162911
359	877.0952251
360	876.6371132
361	876.0889807
362	875.5402175
363	874.8852356
364	874.0636098
365	873.5385149
366	872.9475094
367	872.2444772
368	871.6343488
369	870.9626316
370	870.3295222
371	869.7029198
372	869.0165668
373	868.3444947
374	868.1043991
375	867.903286
376	867.4895046
377	866.8513732
378	866.3540855
379	865.7878406
380	865.0264985
381	864.3927473
382	864.1066458
383	863.5235598
384	863.3433879
385	862.7978471
386	862.1799556
387	861.6061736
388	861.4783339
389	860.74442
390	860.1007593
391	859.7246686
392	859.2273044
393	858.5059251
394	857.962517
395	857.7214863
396	857.6571039
397	857.1089527
398	856.4078937
399	855.9141061
